Obs.	statenum	casenum	accdate	acctime	speeding	alcres	drugres1	
158	48	1583	07142015	2316	0	996	0	
159	4	164	03202015	2129	0	0	0	
160	5	355	09262015	1224	0	996	0	
161	20	129	06192015	1222	0	0	1	
162	22	394	08232015	1935	1	10	997	
163	27	284	09022015	0550	0	0	1	
164	35	81	05162015	2005	1	996	0	
165	31	70	01162015	1935	0	85	0	
166	18	721	10142015	1336	0	996	0	
167	29	542	09152015	1840	0	30	1	
168	37	1175	12092015	0821	1	996	0	
169	49	54	04152015	2116	0	0	1	
170	6	378	03052015	0138	0	130	321	
171	18	329	02062015	0058	1	996	0	
172	47	568	09022015	1430	0	996	0	
173	48	1482	07032015	0351	0	996	0	
174	6	2081	12052015	1727	0	996	0	
175	12	85	01172015	2116	0	996	0	
176	4	508	08082015	1439	1	.	.	
177	39	174	03262015	1130	0	0	605	
178	48	2928	12062015	1956	0	221	1	
179	12	581	03152015	1801	0	0	1	
180	28	440	10112015	1539	0	14	401	
181	45	588	09082015	0501	1	996	0	
182	13	51	01182015	2049	0	0	1	
183	13	165	02222015	0505	0	309	1	
184	18	27	01182015	0440	1	130	401	
185	36	345	05122015	0700	0	0	402	
186	48	1881	08032015	1620	0	.	.	
187	6	2858	03152015	0040	0	0	1	
188	39	228	04282015	2213	1	257	603	
189	48	2820	11222015	1830	0	996	0	
190	4	743	09262015	0230	0	999	999	
191	12	877	05162015	0031	0	995	95	
192	29	563	09272015	0001	0	185	997	
193	48	2401	10152015	2300	0	0	1	
194	36	648	09112015	2356	1	0	1	
195	37	184	01132015	1325	0	0	0	
196	4	653	10252015	0433	0	996	0	
197	12	1326	02072015	1720	0	996	0	
198	22	7	01222015	1908	0	0	997	
199	48	2296	10032015	1625	0	996	0	
200	48	3064	12212015	1114	1	0	1	
201	48	3114	12112015	1223	0	996	0	
202	39	568	08092015	0016	0	996	0	
203	6	2291	09022015	1800	0	996	0	
204	26	264	06012015	0925	0	997	95	
205	48	727	04082015	0710	0	996	0	
206	27	282	10052015	1716	1	996	0	
207	53	251	07222015	1506	0	0	1	
208	13	660	07072015	2218	0	0	401	
209	5	129	04142015	2104	0	.	.	
210	6	78	01112015	9999	0	996	0	
211	48	423	03012015	0735	0	996	0	
